ID,STOREID,PRODUCTID,QUANTITY,UNITPRICE,SUBTOTAL
384,2,32,2,3,6
385,6,27,1,4,4
386,2,15,1,6,6
387,6,32,1,3,3
388,2,26,1,4,4
389,4,22,2,8,16
390,1,12,1,5,5
391,9,4,1,5,5
392,1,30,1,6,6
393,9,35,1,5,5
394,5,29,2,6,12
395,4,15,2,6,12
396,2,2,1,6,6
397,4,10,1,5,5
398,1,28,2,5,10
399,8,7,2,3,6
400,6,6,1,3,3
401,3,24,2,8,16
402,4,24,2,8,16
403,7,8,1,5,5
403,10,35,2,5,10
403,3,38,2,6,12
404,7,31,1,6,6
404,9,16,1,6,6
405,5,3,1,5,5
405,4,20,1,5,5
406,4,38,1,6,6
407,10,4,2,5,10
408,1,8,2,5,10
409,4,16,2,6,12
409,7,13,1,5,5
409,9,2,2,6,12
410,1,28,2,5,10
411,10,17,1,7,7
411,3,27,2,4,8
412,8,30,1,6,6
413,4,32,2,3,6
414,7,11,1,5,5
415,5,6,1,3,3
415,3,21,1,6,6
416,2,38,2,6,12
417,6,34,1,5,5
418,7,9,2,5,10
418,3,20,2,5,10
419,1,5,1,6,6
419,8,24,1,8,8
420,3,32,1,3,3
420,3,4,2,5,10
421,7,30,2,6,12
422,2,21,2,6,12
423,10,37,2,4,8
424,2,8,2,5,10
425,9,25,1,6,6
426,9,32,1,3,3
427,6,8,2,5,10
428,6,17,2,7,14
429,3,3,1,5,5
430,3,4,2,5,10
430,9,38,1,6,6
430,6,6,2,3,6
431,4,25,1,6,6
432,1,38,2,6,12
432,9,5,1,6,6
433,3,2,2,6,12
434,5,26,2,4,8
435,7,17,1,7,7
436,9,9,1,5,5
437,1,1,1,4,4
438,5,2,2,6,12
438,6,7,2,3,6
439,3,23,2,6,12
440,8,1,2,4,8
441,8,3,2,5,10
442,10,27,1,4,4
443,6,4,1,5,5
444,3,34,1,5,5
445,2,10,1,5,5
446,9,1,1,4,4
447,9,5,1,6,6
448,1,36,1,4,4
449,9,4,2,5,10
450,4,2,2,6,12
451,10,21,1,6,6
451,4,37,2,4,8
452,6,16,2,6,12
453,7,29,1,6,6
454,3,38,1,6,6
455,1,14,2,5,10
455,8,8,2,5,10
456,6,37,1,4,4
457,5,13,2,5,10
458,1,24,1,8,8
458,2,20,2,5,10
459,5,23,2,6,12
460,9,33,2,4,8
460,9,2,1,6,6
460,4,9,2,5,10
461,5,19,1,6,6
461,2,2,1,6,6
462,10,3,2,5,10
462,1,31,1,6,6
463,1,9,1,5,5
464,8,36,2,4,8
465,5,7,1,3,3
466,8,7,1,3,3
467,2,36,1,4,4
467,8,12,2,5,10
468,8,6,2,3,6
468,2,23,2,6,12
468,7,17,1,7,7
469,6,19,2,6,12
470,9,25,1,6,6
471,10,13,1,5,5
472,5,5,1,6,6
473,1,34,1,5,5
474,10,11,2,5,10
474,8,23,1,6,6
474,2,18,1,8,8
475,6,10,2,5,10
475,10,5,2,6,12
476,10,28,1,5,5
476,8,24,1,8,8
477,10,8,1,5,5
477,1,8,2,5,10
477,5,26,2,4,8
478,7,36,2,4,8
479,3,27,2,4,8
479,4,3,2,5,10
480,3,20,1,5,5
480,4,1,1,4,4
480,10,25,1,6,6
481,4,17,1,7,7
481,3,11,1,5,5
482,4,20,2,5,10
482,8,24,2,8,16
482,9,18,2,8,16
483,8,2,2,6,12
484,5,3,1,5,5
485,9,24,1,8,8
486,4,35,2,5,10
487,5,24,1,8,8
487,6,2,1,6,6
488,8,1,2,4,8
489,8,32,1,3,3
489,9,8,2,5,10
490,5,19,2,6,12
490,10,2,1,6,6
491,5,24,2,8,16
491,10,20,1,5,5
492,1,27,2,4,8
492,2,33,2,4,8
493,10,15,2,6,12
494,6,30,1,6,6
495,6,6,2,3,6
496,1,26,2,4,8
497,3,9,1,5,5
498,6,12,2,5,10
498,5,14,2,5,10
499,7,11,2,5,10
500,1,26,2,4,8
501,2,3,2,5,10
502,9,13,2,5,10
503,10,3,2,5,10
503,5,8,1,5,5
503,3,18,2,8,16
504,5,1,1,4,4
505,9,36,1,4,4
505,1,24,1,8,8
506,5,24,1,8,8
507,10,27,1,4,4
507,5,22,2,8,16
508,1,21,1,6,6
509,1,27,2,4,8
510,10,35,1,5,5
511,8,34,1,5,5
511,3,18,1,8,8
512,4,22,1,8,8
512,4,19,2,6,12
512,1,17,1,7,7
512,2,18,1,8,8
513,3,24,2,8,16
513,9,10,2,5,10
513,3,27,2,4,8
514,7,4,2,5,10
515,6,18,1,8,8
515,9,25,1,6,6
515,1,35,2,5,10
516,5,13,2,5,10
516,5,5,1,6,6
517,4,8,2,5,10
518,8,11,1,5,5
519,8,17,1,7,7
520,4,3,1,5,5
521,4,29,2,6,12
521,8,15,2,6,12
522,4,7,2,3,6
522,8,13,2,5,10
523,6,24,2,8,16
524,6,38,2,6,12
525,10,14,2,5,10
526,5,12,1,5,5
527,7,19,2,6,12
528,8,38,1,6,6
529,6,32,2,3,6
530,1,25,1,6,6
530,7,24,1,8,8
531,6,10,2,5,10
532,2,30,2,6,12
533,7,31,2,6,12
534,8,32,1,3,3
535,2,28,2,5,10
536,4,35,1,5,5
536,7,36,1,4,4
536,7,10,1,5,5
537,4,15,2,6,12
538,8,10,1,5,5
539,3,30,1,6,6
539,4,26,1,4,4
540,6,33,2,4,8
540,2,16,2,6,12
541,9,21,2,6,12
541,2,34,1,5,5
542,7,7,1,3,3
543,2,7,1,3,3
544,7,23,1,6,6
545,7,29,2,6,12
546,9,22,2,8,16
547,10,22,2,8,16
548,9,28,1,5,5
548,10,17,2,7,14
549,1,2,1,6,6
550,3,18,1,8,8
550,7,16,1,6,6
551,2,35,1,5,5
551,8,35,1,5,5
551,2,37,2,4,8
552,7,21,1,6,6
553,1,33,1,4,4
554,8,6,2,3,6
554,1,31,2,6,12
554,7,13,1,5,5
555,10,18,1,8,8
555,10,6,2,3,6
556,7,24,2,8,16
557,6,24,2,8,16
558,10,32,2,3,6
559,3,30,2,6,12
560,1,34,2,5,10
560,1,12,2,5,10
561,8,24,1,8,8
561,2,38,1,6,6
562,3,16,2,6,12
563,6,32,2,3,6
563,9,11,1,5,5
564,2,6,1,3,3
564,10,6,1,3,3
565,8,32,2,3,6
566,9,34,2,5,10
567,4,23,1,6,6
568,3,10,1,5,5
569,1,21,2,6,12
570,6,35,2,5,10
570,8,32,1,3,3
571,6,19,1,6,6
572,3,15,2,6,12
572,6,12,1,5,5
573,9,26,1,4,4
574,9,2,2,6,12
575,4,31,2,6,12
576,4,34,1,5,5
577,2,21,2,6,12
578,4,28,1,5,5
578,4,30,1,6,6
578,7,7,1,3,3
578,1,27,2,4,8
579,9,37,1,4,4
580,2,7,1,3,3
581,8,26,1,4,4
582,6,38,1,6,6
583,3,33,2,4,8
584,2,19,2,6,12
584,2,27,2,4,8
585,1,23,1,6,6
586,6,2,1,6,6
587,1,23,1,6,6
587,4,16,1,6,6
588,1,14,2,5,10
589,5,19,1,6,6
589,8,13,2,5,10
589,3,23,1,6,6
590,6,24,1,8,8
591,3,35,1,5,5
591,7,7,1,3,3
591,4,32,2,3,6
592,7,18,2,8,16
593,5,33,2,4,8
593,10,14,1,5,5
594,6,23,2,6,12
595,3,33,1,4,4
596,3,18,2,8,16
596,6,5,1,6,6
596,9,13,1,5,5
597,6,27,2,4,8
598,6,3,1,5,5
599,3,25,2,6,12
599,3,7,1,3,3
600,5,22,1,8,8
600,5,27,1,4,4
601,10,17,2,7,14
602,6,10,2,5,10
603,5,2,1,6,6
603,5,11,2,5,10
604,1,35,1,5,5
605,4,34,1,5,5
606,5,32,2,3,6
606,9,1,1,4,4
607,9,32,2,3,6
608,3,11,2,5,10
609,5,37,1,4,4
610,5,17,2,7,14
611,6,14,2,5,10
611,6,23,1,6,6
612,9,6,2,3,6
613,8,15,2,6,12
613,5,3,1,5,5
614,1,13,1,5,5
615,7,15,1,6,6
616,10,22,2,8,16
617,4,11,1,5,5
617,2,16,2,6,12
618,8,12,2,5,10
618,9,21,1,6,6
618,10,34,2,5,10
619,10,3,1,5,5
620,1,31,1,6,6
621,1,30,2,6,12
622,6,30,1,6,6
623,3,3,2,5,10
624,5,13,1,5,5
624,1,24,2,8,16
624,2,12,1,5,5
625,3,28,1,5,5
626,9,2,2,6,12
627,5,31,1,6,6
627,3,35,2,5,10
628,6,12,1,5,5
628,6,30,1,6,6
628,2,5,2,6,12
629,9,3,1,5,5
630,1,10,2,5,10
631,10,35,1,5,5
631,4,15,1,6,6
632,2,32,1,3,3
633,1,26,2,4,8
634,10,19,2,6,12
634,4,10,1,5,5
635,3,12,1,5,5
636,2,23,1,6,6
637,7,9,1,5,5
637,2,33,2,4,8
638,5,29,1,6,6
639,2,24,1,8,8
640,4,38,2,6,12
641,6,24,1,8,8
642,8,9,1,5,5
643,1,1,1,4,4
644,2,35,1,5,5
645,6,14,1,5,5
646,5,1,2,4,8
647,7,22,2,8,16
648,6,36,1,4,4
648,1,35,2,5,10
649,5,25,1,6,6
650,10,21,1,6,6
651,5,14,1,5,5
652,10,13,2,5,10
653,10,36,2,4,8
653,1,24,2,8,16
654,6,24,2,8,16
655,10,20,2,5,10
656,10,4,2,5,10
657,2,30,1,6,6
658,10,30,1,6,6
658,6,6,2,3,6
658,7,34,2,5,10
659,1,36,2,4,8
660,1,1,2,4,8
661,6,27,2,4,8
662,10,12,2,5,10
663,1,2,2,6,12
663,4,30,2,6,12
664,1,25,1,6,6
665,1,8,1,5,5
666,9,35,2,5,10
667,10,30,1,6,6
667,10,33,1,4,4
668,3,5,2,6,12
669,6,10,1,5,5
670,2,12,2,5,10
671,3,7,1,3,3
671,3,13,2,5,10
672,10,30,2,6,12
673,5,17,1,7,7
674,3,29,2,6,12
674,1,18,2,8,16
675,2,15,2,6,12
676,9,13,2,5,10
676,5,30,2,6,12
676,7,22,1,8,8
676,2,4,1,5,5
677,2,26,1,4,4
678,8,30,1,6,6
679,6,1,1,4,4
679,5,38,2,6,12
680,8,23,1,6,6
681,2,13,2,5,10
682,3,10,1,5,5
683,3,25,1,6,6
684,3,36,2,4,8
685,8,18,2,8,16
686,8,3,1,5,5
687,2,29,2,6,12
688,3,29,2,6,12
689,5,37,2,4,8
690,4,28,1,5,5
691,8,19,2,6,12
692,5,35,2,5,10
693,2,24,2,8,16
694,8,22,1,8,8
695,2,18,2,8,16
696,1,28,2,5,10
697,2,26,1,4,4
698,5,38,1,6,6
699,4,24,2,8,16
700,1,11,2,5,10
700,5,8,1,5,5
701,5,32,1,3,3
702,1,31,2,6,12
703,2,16,2,6,12
704,1,23,2,6,12
705,5,26,1,4,4
706,7,1,2,4,8
707,3,4,2,5,10
708,3,17,2,7,14
709,8,15,1,6,6
710,6,13,1,5,5
711,1,31,1,6,6
711,6,20,1,5,5
712,1,4,2,5,10
713,9,10,1,5,5
714,2,16,2,6,12
714,5,28,2,5,10
714,1,9,2,5,10
715,9,14,2,5,10
716,4,13,2,5,10
717,3,29,2,6,12
718,6,17,1,7,7
719,6,9,2,5,10
720,8,9,1,5,5
720,2,27,1,4,4
721,8,24,1,8,8
721,1,15,2,6,12
722,1,16,2,6,12
723,1,7,1,3,3
724,4,2,1,6,6
725,5,37,1,4,4
726,1,33,2,4,8
726,9,15,2,6,12
727,9,11,1,5,5
728,2,5,1,6,6
729,2,26,2,4,8
730,2,1,2,4,8
731,1,25,2,6,12
732,1,7,1,3,3
733,1,15,2,6,12
734,5,21,2,6,12
734,6,8,2,5,10
735,4,2,2,6,12
735,8,10,2,5,10
736,7,23,1,6,6
737,2,22,1,8,8
738,4,20,1,5,5
739,3,32,1,3,3
740,6,6,2,3,6
741,4,19,2,6,12
742,3,10,1,5,5
743,5,32,1,3,3
744,1,29,1,6,6
745,3,33,1,4,4
746,9,11,2,5,10
746,2,17,2,7,14
746,6,26,1,4,4
747,7,26,1,4,4
748,7,36,1,4,4
749,10,12,1,5,5
750,10,28,2,5,10
751,9,33,2,4,8
752,9,33,1,4,4
753,2,32,2,3,6
754,3,32,2,3,6
755,10,9,2,5,10
756,9,14,2,5,10
757,7,28,2,5,10
758,8,23,1,6,6
758,2,25,1,6,6
759,10,29,2,6,12
760,2,37,1,4,4
761,9,10,1,5,5
762,6,21,2,6,12
762,3,36,2,4,8
763,3,21,1,6,6
764,6,6,1,3,3
764,4,7,2,3,6
765,3,16,1,6,6
766,4,24,2,8,16
766,10,20,1,5,5
767,3,16,2,6,12
767,10,30,2,6,12
768,10,4,2,5,10
768,10,30,2,6,12
769,7,30,2,6,12
770,10,38,1,6,6
771,6,38,1,6,6
772,1,24,1,8,8
773,1,31,2,6,12
774,2,1,2,4,8
774,10,13,2,5,10
775,10,13,1,5,5
776,9,1,2,4,8
776,10,14,1,5,5
777,6,36,2,4,8
777,4,28,2,5,10
777,3,14,1,5,5
778,5,36,1,4,4
779,3,33,1,4,4
779,3,2,2,6,12
780,6,36,1,4,4
781,6,36,1,4,4
781,9,5,2,6,12
782,3,31,1,6,6
783,7,32,1,3,3
784,7,22,2,8,16
785,7,8,1,5,5
785,5,32,2,3,6
786,3,24,1,8,8
787,9,9,1,5,5
788,3,22,1,8,8
789,5,29,1,6,6
790,5,25,1,6,6
791,5,2,1,6,6
792,5,36,2,4,8
793,8,29,1,6,6
793,9,23,2,6,12
794,5,19,1,6,6
794,5,30,2,6,12
795,10,25,1,6,6
796,4,20,2,5,10
796,4,20,2,5,10
796,8,9,1,5,5
797,7,32,2,3,6
798,5,7,1,3,3
799,2,24,1,8,8
800,7,13,1,5,5
801,2,23,2,6,12
802,8,27,2,4,8
803,1,8,2,5,10
804,7,22,1,8,8
805,2,10,2,5,10
806,9,38,1,6,6
807,2,9,1,5,5
807,10,19,1,6,6
807,2,15,2,6,12
808,5,3,1,5,5
809,6,10,1,5,5
810,4,12,2,5,10
810,7,26,2,4,8
810,1,24,1,8,8
811,10,26,2,4,8
812,2,32,1,3,3
813,8,23,1,6,6
814,4,32,2,3,6
815,10,38,1,6,6
815,9,32,2,3,6
816,1,28,2,5,10
817,6,31,2,6,12
818,4,1,2,4,8
818,8,34,1,5,5
819,3,31,2,6,12
820,7,19,1,6,6
821,10,36,1,4,4
821,3,22,1,8,8
822,9,9,2,5,10
823,2,3,1,5,5
824,8,20,2,5,10
825,4,12,2,5,10
826,3,12,2,5,10
827,1,30,1,6,6
828,8,7,2,3,6
828,9,11,1,5,5
829,8,18,1,8,8
829,8,29,2,6,12
830,9,37,1,4,4
831,2,8,1,5,5
832,3,3,1,5,5
833,10,25,1,6,6
834,10,33,2,4,8
835,8,23,1,6,6
835,8,2,1,6,6
835,4,25,1,6,6
836,8,6,2,3,6
837,5,6,2,3,6
837,5,33,1,4,4
837,6,2,1,6,6
838,10,27,1,4,4
839,8,17,1,7,7
840,4,29,1,6,6
841,6,3,2,5,10
842,6,4,2,5,10
843,6,24,1,8,8
844,7,22,1,8,8
845,7,34,1,5,5
845,5,36,2,4,8
846,1,27,1,4,4
